"Database","type_desc","is_primary_key","is_unique","COUNT"
"WideWorldImporters","CLUSTERED","False","False","19"
"WideWorldImporters","CLUSTERED","True","True","26"
"WideWorldImporters","CLUSTERED COLUMNSTORE","False","False","1"
"WideWorldImporters","HEAP","False","False","2"
"WideWorldImporters","NONCLUSTERED","False","False","77"
"WideWorldImporters","NONCLUSTERED","False","True","17"
"WideWorldImporters","NONCLUSTERED","True","True","5"
"WideWorldImporters","NONCLUSTERED COLUMNSTORE","False","False","2"
"WideWorldImportersDW","CLUSTERED","True","True","11"
"WideWorldImportersDW","CLUSTERED COLUMNSTORE","False","False","6"
"WideWorldImportersDW","HEAP","False","False","12"
"WideWorldImportersDW","NONCLUSTERED","False","False","39"
"WideWorldImportersDW","NONCLUSTERED","True","True","18"
