SourceDatabase,SourceSchema,TargetDatabase,TargetSchema
AdventureWorksDW2019,dbo,EDW,adw
WideWorldImportersDW,dbo,EDW,wwidw
WideWorldImportersDW,Application,EDW,wwidw_Application
WideWorldImportersDW,Dimension,EDW,wwidw_Dimension
WideWorldImportersDW,Fact,EDW,wwidw_Fact
WideWorldImportersDW,Integration,EDW,wwidw_Integration
WideWorldImportersDW,PowerBI,EDW,wwidw_PowerBI
WideWorldImportersDW,Reports,EDW,wwidw_Reports
WideWorldImportersDW,Website,EDW,wwidw_Website
AdventureWorks2019,dbo,EDW,aw
AdventureWorks2019,HumanResources,EDW,aw_HumanResources
AdventureWorks2019,Person,EDW,aw_Person
AdventureWorks2019,Production,EDW,aw_Production
AdventureWorks2019,Purchasing,EDW,aw_Purchasing
AdventureWorks2019,Sales,EDW,aw_Sales
WideWorldImporters,dbo,EDW,wwi
WideWorldImporters,Application,EDW,wwi_Application
WideWorldImporters,DataLoadSimulation,EDW,wwi_DataLoadSimulation
WideWorldImporters,Integration,EDW,wwi_Integration
WideWorldImporters,PowerBI,EDW,wwi_PowerBI
WideWorldImporters,Purchasing,EDW,wwi_Purchasing
WideWorldImporters,Reports,EDW,wwi_Reports
WideWorldImporters,Sales,EDW,wwi_Sales
WideWorldImporters,Warehouse,EDW,wwi_Warehouse
WideWorldImporters,Website,EDW,wwi_Website
